cycle,bl,outs,rets,outs_board,rets_board,traff,sign,psg
0,L1,6,1,0,0,0.0,0.0,0.0
0,L10,4,1,0,0,0.0,0.0,0.0
0,L11,7,1,0,0,0.0,0.0,0.0
0,L12,1,1,0,0,0.0,0.0,0.0
0,L13,4,1,0,0,0.0,0.0,0.0
0,L14,3,1,0,0,0.0,0.0,0.0
0,L15,2,1,0,0,0.0,0.0,0.0
0,L16,4,1,0,0,0.0,0.0,0.0
0,L17,2,1,0,0,0.0,0.0,0.0
0,L18,7,1,0,0,0.0,0.0,0.0
0,L19,1,1,0,0,0.0,0.0,0.0
0,L2,1,1,0,0,0.0,0.0,0.0
0,L20,5,1,0,0,0.0,0.0,0.0
0,L21,1,1,0,0,0.0,0.0,0.0
0,L22,1,1,0,0,0.0,0.0,0.0
0,L23,1,1,0,0,0.0,0.0,0.0
0,L24,1,1,0,0,0.0,0.0,0.0
0,L25,1,1,0,0,0.0,0.0,0.0
0,L26,1,1,0,0,0.0,0.0,0.0
0,L261,1,1,0,0,0.0,0.0,0.0
0,L262,1,1,0,0,0.0,0.0,0.0
0,L27,1,1,0,0,0.0,0.0,0.0
0,L28,1,1,0,0,0.0,0.0,0.0
0,L29,1,1,0,0,0.0,0.0,0.0
0,L3,2,1,0,0,0.0,0.0,0.0
0,L30,1,1,0,0,0.0,0.0,0.0
0,L33,1,1,0,0,0.0,0.0,0.0
0,L332,1,1,0,0,0.0,0.0,0.0
0,L35,1,1,0,0,0.0,0.0,0.0
0,L36,1,1,0,0,0.0,0.0,0.0
0,L38,1,1,0,0,0.0,0.0,0.0
0,L39,1,1,0,0,0.0,0.0,0.0
0,L4,3,1,0,0,0.0,0.0,0.0
0,L40,1,1,0,0,0.0,0.0,0.0
0,L41,1,1,0,0,0.0,0.0,0.0
0,L43,1,1,0,0,0.0,0.0,0.0
0,L44,1,1,0,0,0.0,0.0,0.0
0,L441,1,1,0,0,0.0,0.0,0.0
0,L45,1,1,0,0,0.0,0.0,0.0
0,L5,1,1,0,0,0.0,0.0,0.0
0,L6,5,1,0,0,0.0,0.0,0.0
0,L66,5,1,0,0,0.0,0.0,0.0
0,L7,3,1,0,0,0.0,0.0,0.0
0,L9,5,1,0,0,0.0,0.0,0.0
0,251,1,1,0,0,0.0,0.0,0.0
0,BRT1,1,1,0,0,0.0,0.0,0.0
60,L1,6,1,0,0,176.66666666666669,30.0,0.0
60,L10,4,1,0,0,125.00000000000004,0.0,0.0
60,L11,7,1,1,0,158.33333333333331,0.0,10.0
60,L12,1,1,0,0,55.0,0.0,0.0
60,L13,4,1,0,0,110.0,0.0,0.0
60,L14,3,1,0,1,148.33333333333337,0.0,10.0
60,L15,2,1,0,1,218.33333333333337,30.0,10.0
60,L16,4,1,0,0,113.33333333333337,0.0,0.0
60,L17,2,1,0,0,120.00000000000004,0.0,0.0
60,L18,7,1,0,0,65.0,0.0,0.0
60,L19,1,1,0,0,201.6666666666667,0.0,0.0
60,L2,1,1,0,1,143.33333333333337,0.0,10.0
60,L20,5,1,1,0,165.0,0.0,10.0
60,L21,1,1,1,1,104.99999999999999,0.0,20.0
60,L22,1,1,0,0,103.33333333333334,30.0,0.0
60,L23,1,1,0,0,123.33333333333334,120.0,0.0
60,L24,1,1,0,0,40.0,0.0,0.0
60,L25,1,1,0,0,85.0,0.0,0.0
60,L26,1,1,0,0,121.66666666666669,30.0,0.0
60,L261,1,1,0,0,121.66666666666669,60.0,0.0
60,L262,1,1,0,0,121.66666666666669,60.0,0.0
60,L27,1,1,0,0,103.33333333333334,0.0,0.0
60,L28,1,1,1,0,106.66666666666667,30.0,10.0
60,L29,1,1,0,0,56.666666666666664,0.0,0.0
60,L3,2,1,0,0,125.00000000000004,0.0,0.0
60,L30,1,1,0,0,65.0,30.0,0.0
60,L33,1,1,0,0,78.33333333333334,0.0,0.0
60,L332,1,1,0,0,0.0,0.0,0.0
60,L35,1,1,0,0,40.0,0.0,0.0
60,L36,1,1,0,0,88.33333333333333,60.0,0.0
60,L38,1,1,1,0,41.66666666666666,60.0,10.0
60,L39,1,1,0,0,56.666666666666664,0.0,0.0
60,L4,3,1,0,0,145.00000000000003,0.0,0.0
60,L40,1,1,0,0,0.0,0.0,0.0
60,L41,1,1,0,0,0.0,0.0,0.0
60,L43,1,1,0,0,59.99999999999999,0.0,0.0
60,L44,1,1,0,0,41.66666666666666,0.0,0.0
60,L441,1,1,0,0,44.99999999999999,0.0,0.0
60,L45,1,1,0,0,40.0,0.0,0.0
60,L5,1,1,0,1,141.66666666666669,0.0,10.0
60,L6,5,1,0,0,135.0,0.0,0.0
60,L66,5,1,0,1,126.66666666666671,0.0,10.0
60,L7,3,1,0,0,5.0,0.0,0.0
60,L9,5,1,0,0,59.99999999999999,0.0,0.0
60,251,1,1,0,0,85.0,0.0,0.0
60,BRT1,1,1,0,2,0.0,0.0,20.0
120,L1,6,1,0,0,426.66666666666674,120.0,0.0
120,L10,4,1,1,0,216.6666666666667,0.0,10.0
120,L11,7,1,1,0,383.3333333333333,0.0,10.0
120,L12,1,1,0,0,115.0,0.0,0.0
120,L13,4,1,2,0,155.0,0.0,20.0
120,L14,3,1,0,1,313.33333333333337,0.0,10.0
120,L15,2,1,0,1,448.33333333333314,120.0,10.0
120,L16,4,1,0,0,273.33333333333337,60.0,0.0
120,L17,2,1,0,0,271.66666666666663,30.0,0.0
120,L18,7,1,1,1,166.66666666666669,0.0,20.0
120,L19,1,1,0,0,491.6666666666667,30.0,0.0
120,L2,1,1,0,1,545.0,0.0,10.0
120,L20,5,1,1,0,231.66666666666669,0.0,10.0
120,L21,1,1,2,1,180.0,0.0,30.0
120,L22,1,1,0,0,201.66666666666663,30.0,0.0
120,L23,1,1,0,0,186.66666666666666,150.0,0.0
120,L24,1,1,0,0,40.0,0.0,0.0
120,L25,1,1,0,0,125.0,0.0,0.0
120,L26,1,1,0,0,208.33333333333326,60.0,0.0
120,L261,1,1,0,0,208.33333333333326,90.0,0.0
120,L262,1,1,0,0,208.33333333333326,90.0,0.0
120,L27,1,1,0,0,211.66666666666663,0.0,0.0
120,L28,1,1,0,0,198.33333333333326,30.0,15.0
120,L29,1,1,0,0,56.666666666666664,0.0,0.0
120,L3,2,1,0,0,316.66666666666674,30.0,0.0
120,L30,1,1,0,0,233.3333333333333,30.0,0.0
120,L33,1,1,0,0,88.33333333333334,0.0,0.0
120,L332,1,1,0,0,0.0,0.0,0.0
120,L35,1,1,0,0,40.0,0.0,0.0
120,L36,1,1,0,0,163.33333333333331,60.0,0.0
120,L38,1,1,2,0,83.33333333333333,60.0,20.0
120,L39,1,1,0,0,71.66666666666666,0.0,0.0
120,L4,3,1,0,0,303.3333333333333,0.0,0.0
120,L40,1,1,0,0,0.0,0.0,0.0
120,L41,1,1,0,0,0.0,0.0,0.0
120,L43,1,1,0,0,158.33333333333337,0.0,0.0
120,L44,1,1,0,0,85.0,30.0,0.0
120,L441,1,1,0,0,93.33333333333334,60.0,0.0
120,L45,1,1,0,0,40.0,0.0,0.0
120,L5,1,1,0,2,288.33333333333337,0.0,20.0
120,L6,5,1,0,1,310.0,0.0,10.0
120,L66,5,1,0,1,306.6666666666667,30.0,10.0
120,L7,3,1,0,0,273.3333333333333,0.0,0.0
120,L9,5,1,2,1,281.6666666666667,0.0,30.0
120,251,1,1,0,0,125.0,0.0,0.0
120,BRT1,1,1,0,1,0.0,0.0,25.0
180,L1,6,1,1,0,808.3333333333335,210.0,10.0
180,L10,4,1,1,0,501.6666666666667,0.0,10.0
180,L11,7,1,2,0,613.3333333333333,0.0,20.0
180,L12,1,1,0,0,231.66666666666669,30.0,0.0
180,L13,4,1,2,0,214.99999999999994,0.0,20.0
180,L14,3,1,0,1,586.6666666666667,0.0,10.0
180,L15,2,1,1,1,770.0000000000002,150.0,20.0
180,L16,4,1,0,2,528.3333333333333,90.0,20.0
180,L17,2,1,0,2,448.33333333333326,60.0,20.0
180,L18,7,1,1,1,310.0,30.0,20.0
180,L19,1,1,0,0,648.3333333333335,90.0,0.0
180,L2,1,1,0,2,1020.0000000000002,0.0,20.0
180,L20,5,1,5,0,480.83333333333337,0.0,50.0
180,L21,1,1,2,1,210.0,0.0,30.0
180,L22,1,1,0,0,277.49999999999994,30.0,0.0
180,L23,1,1,0,0,196.66666666666666,150.0,0.0
180,L24,1,1,0,0,75.0,0.0,0.0
180,L25,1,1,0,0,184.99999999999997,0.0,0.0
180,L26,1,1,0,0,243.33333333333326,90.0,0.0
180,L261,1,1,0,0,223.33333333333326,120.0,0.0
180,L262,1,1,0,0,243.33333333333326,90.0,0.0
180,L27,1,1,0,1,340.8333333333333,0.0,10.0
180,L28,1,1,0,0,223.33333333333326,30.0,15.0
180,L29,1,1,0,0,56.666666666666664,0.0,0.0
180,L3,2,1,0,0,421.66666666666674,30.0,0.0
180,L30,1,1,0,0,335.0,60.0,0.0
180,L33,1,1,0,0,160.0,0.0,0.0
180,L332,1,1,0,0,0.0,0.0,0.0
180,L35,1,1,0,0,70.0,0.0,0.0
180,L36,1,1,0,0,193.33333333333331,60.0,0.0
180,L38,1,1,0,0,103.33333333333333,60.0,30.0
180,L39,1,1,0,0,101.66666666666666,0.0,0.0
180,L4,3,1,0,0,503.33333333333337,60.0,0.0
180,L40,1,1,0,0,0.0,0.0,0.0
180,L41,1,1,0,0,0.0,0.0,0.0
180,L43,1,1,0,0,247.49999999999994,0.0,0.0
180,L44,1,1,0,0,121.66666666666667,30.0,0.0
180,L441,1,1,0,0,130.0,120.0,0.0
180,L45,1,1,0,0,75.0,0.0,0.0
180,L5,1,1,0,2,416.6666666666666,0.0,20.0
180,L6,5,1,2,1,578.3333333333333,0.0,30.0
180,L66,5,1,0,0,595.0000000000001,30.0,15.0
180,L7,3,1,2,3,303.3333333333333,0.0,50.0
180,L9,5,1,5,1,453.33333333333314,0.0,60.0
180,251,1,1,0,0,184.99999999999997,0.0,0.0
180,BRT1,1,1,0,0,0.0,0.0,30.0
240,L1,6,1,0,0,1301.666666666667,420.0,15.0
240,L10,4,1,2,0,880.0000000000001,0.0,20.0
240,L11,7,1,3,0,1077.5,0.0,30.0
240,L12,1,1,0,0,376.66666666666663,120.0,0.0
240,L13,4,1,0,1,456.66666666666674,30.0,40.0
240,L14,3,1,0,0,1020.0000000000005,30.0,15.0
240,L15,2,1,1,0,1101.6666666666663,210.0,25.0
